ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.00466795,0.00466795,0.0110479,0,0.00638,0.00638,completed
1,malleable,0.00823874,0.00823874,0.0146187,0,0.00638,0.00638,completed
2,malleable,0.0131242,0.0131242,0.0195042,0,0.00638,0.00638,completed
3,malleable,0.0226672,0.0226672,0.0290472,-3.46945e-18,0.00638,0.00638,completed
4,malleable,0.0227792,0.0227792,0.0291592,0,0.00638,0.00638,completed
5,malleable,0.0241968,0.0241968,0.0305768,0,0.00638,0.00638,completed
6,malleable,0.0258534,0.0290472,0.0354272,0.00319383,0.00638,0.00957383,completed
7,malleable,0.0285511,0.0291592,0.0355392,0.00060813,0.00638,0.00698813,completed
8,malleable,0.02857,0.0305768,0.0369568,0.00200682,0.00638,0.00838682,completed
9,malleable,0.0288768,0.0354272,0.0418072,0.00655046,0.00638,0.0129305,completed
10,malleable,0.0337877,0.0355392,0.0419192,0.00175154,0.00638,0.00813154,completed
11,malleable,0.0386418,0.0386418,0.0450218,6.93889e-18,0.00638,0.00638,completed
12,malleable,0.040112,0.0418072,0.0481872,0.00169527,0.00638,0.00807527,completed
13,malleable,0.0402677,0.0419192,0.0482992,0.00165158,0.00638,0.00803158,completed
14,malleable,0.0404898,0.0450218,0.0514018,0.00453204,0.00638,0.010912,completed
15,malleable,0.0422495,0.0481872,0.0545672,0.00593771,0.00638,0.0123177,completed
16,malleable,0.0437896,0.0482992,0.0546792,0.00450966,0.00638,0.0108897,completed
17,malleable,0.0499585,0.0514018,0.0577818,0.00144335,0.00638,0.00782335,completed
18,malleable,0.0527753,0.0545672,0.0609472,0.00179189,0.00638,0.00817189,completed
19,malleable,0.0530615,0.0546792,0.0610592,0.00161775,0.00638,0.00799775,completed
20,malleable,0.0609182,0.0609182,0.0672982,0,0.00638,0.00638,completed
21,malleable,0.0616767,0.0616767,0.0680567,-6.93889e-18,0.00638,0.00638,completed
22,malleable,0.0635034,0.0635034,0.0698834,0,0.00638,0.00638,completed
23,malleable,0.0693843,0.0693843,0.0757643,0,0.00638,0.00638,completed
24,malleable,0.0705837,0.0705837,0.0769637,0,0.00638,0.00638,completed
25,malleable,0.072909,0.072909,0.079289,0,0.00638,0.00638,completed
26,malleable,0.0761908,0.0761908,0.0825708,0,0.00638,0.00638,completed
27,malleable,0.0797491,0.0797491,0.0861291,0,0.00638,0.00638,completed
28,malleable,0.0879917,0.0879917,0.0943717,0,0.00638,0.00638,completed
29,malleable,0.0896252,0.0896252,0.0960052,0,0.00638,0.00638,completed
30,malleable,0.0930167,0.0930167,0.0993967,0,0.00638,0.00638,completed
31,malleable,0.0970882,0.0970882,0.103468,0,0.00638,0.00638,completed
32,malleable,0.10054,0.10054,0.10692,0,0.00638,0.00638,completed
33,malleable,0.113799,0.113799,0.120179,0,0.00638,0.00638,completed
34,malleable,0.114262,0.114262,0.120642,0,0.00638,0.00638,completed
35,malleable,0.11935,0.11935,0.12573,0,0.00638,0.00638,completed
36,malleable,0.119658,0.120179,0.126559,0.00052087,0.00638,0.00690087,completed
37,malleable,0.123696,0.123696,0.130076,0,0.00638,0.00638,completed
38,malleable,0.124478,0.12573,0.13211,0.00125233,0.00638,0.00763233,completed
39,malleable,0.127997,0.127997,0.134377,2.77556e-17,0.00638,0.00638,completed
40,malleable,0.133554,0.133554,0.139934,0,0.00638,0.00638,completed
41,malleable,0.135766,0.135766,0.142146,0,0.00638,0.00638,completed
42,malleable,0.136837,0.136837,0.143217,0,0.00638,0.00638,completed
43,malleable,0.142244,0.142244,0.148624,0,0.00638,0.00638,completed
44,malleable,0.153416,0.153416,0.159796,0,0.00638,0.00638,completed
45,malleable,0.154744,0.154744,0.161124,0,0.00638,0.00638,completed
46,malleable,0.156861,0.156861,0.163241,0,0.00638,0.00638,completed
47,malleable,0.161247,0.161247,0.167627,0,0.00638,0.00638,completed
48,malleable,0.166021,0.166021,0.172401,0,0.00638,0.00638,completed
49,malleable,0.16866,0.16866,0.17504,0,0.00638,0.00638,completed
50,malleable,0.172848,0.172848,0.179228,0,0.00638,0.00638,completed
51,malleable,0.183526,0.183526,0.189906,0,0.00638,0.00638,completed
52,malleable,0.186728,0.186728,0.193108,0,0.00638,0.00638,completed
53,malleable,0.193401,0.193401,0.199781,0,0.00638,0.00638,completed
54,malleable,0.200146,0.200146,0.206526,0,0.00638,0.00638,completed
55,malleable,0.200485,0.200485,0.206865,0,0.00638,0.00638,completed
56,malleable,0.208089,0.208089,0.214469,0,0.00638,0.00638,completed
57,malleable,0.214224,0.214224,0.220604,0,0.00638,0.00638,completed
58,malleable,0.218698,0.218698,0.225078,0,0.00638,0.00638,completed
59,malleable,0.226952,0.226952,0.233332,0,0.00638,0.00638,completed
60,malleable,0.230766,0.230766,0.237146,0,0.00638,0.00638,completed
61,malleable,0.230898,0.230898,0.237278,0,0.00638,0.00638,completed
62,malleable,0.232518,0.233332,0.239712,0.0008139,0.00638,0.0071939,completed
63,malleable,0.235783,0.237146,0.243526,0.00136265,0.00638,0.00774265,completed
64,malleable,0.235942,0.237278,0.243658,0.00133575,0.00638,0.00771575,completed
65,malleable,0.238125,0.239712,0.246092,0.00158764,0.00638,0.00796764,completed
66,malleable,0.240009,0.243526,0.249906,0.0035172,0.00638,0.0098972,completed
67,malleable,0.240999,0.243658,0.250038,0.00265901,0.00638,0.00903901,completed
68,malleable,0.250135,0.250135,0.256515,-5.55112e-17,0.00638,0.00638,completed
69,malleable,0.253816,0.253816,0.260196,0,0.00638,0.00638,completed
70,malleable,0.254657,0.254657,0.261037,0,0.00638,0.00638,completed
71,malleable,0.269933,0.269933,0.276313,0,0.00638,0.00638,completed
72,malleable,0.270291,0.270291,0.276671,0,0.00638,0.00638,completed
73,malleable,0.272233,0.272233,0.278613,0,0.00638,0.00638,completed
74,malleable,0.272375,0.276313,0.282693,0.00393866,0.00638,0.0103187,completed
75,malleable,0.2785,0.2785,0.28488,0,0.00638,0.00638,completed
76,malleable,0.278847,0.278847,0.285227,0,0.00638,0.00638,completed
77,malleable,0.287507,0.287507,0.293887,0,0.00638,0.00638,completed
78,malleable,0.288632,0.288632,0.295012,0,0.00638,0.00638,completed
79,malleable,0.288872,0.288872,0.295252,0,0.00638,0.00638,completed
80,malleable,0.294826,0.294826,0.301206,0,0.00638,0.00638,completed
81,malleable,0.302308,0.302308,0.308688,0,0.00638,0.00638,completed
82,malleable,0.306413,0.306413,0.312793,0,0.00638,0.00638,completed
83,malleable,0.311351,0.311351,0.317731,0,0.00638,0.00638,completed
84,malleable,0.311451,0.311451,0.317831,0,0.00638,0.00638,completed
85,malleable,0.315674,0.315674,0.322054,0,0.00638,0.00638,completed
86,malleable,0.316845,0.317731,0.324111,0.00088649,0.00638,0.00726649,completed
87,malleable,0.318724,0.318724,0.325104,0,0.00638,0.00638,completed
88,malleable,0.325756,0.325756,0.332136,0,0.00638,0.00638,completed
89,malleable,0.339463,0.339463,0.345843,0,0.00638,0.00638,completed
90,malleable,0.345712,0.345712,0.352092,0,0.00638,0.00638,completed
91,malleable,0.35224,0.35224,0.35862,0,0.00638,0.00638,completed
92,malleable,0.353256,0.353256,0.359636,0,0.00638,0.00638,completed
93,malleable,0.359169,0.359169,0.365549,0,0.00638,0.00638,completed
94,malleable,0.359224,0.359224,0.365604,0,0.00638,0.00638,completed
95,malleable,0.362048,0.362048,0.368428,0,0.00638,0.00638,completed
96,malleable,0.365551,0.365551,0.371931,0,0.00638,0.00638,completed
97,malleable,0.367096,0.367096,0.373476,0,0.00638,0.00638,completed
98,malleable,0.367138,0.368428,0.374808,0.00129025,0.00638,0.00767025,completed
99,malleable,0.371848,0.371931,0.378311,8.304e-05,0.00638,0.00646304,completed
