Time,queue_length,load,Running Jobs,Invocation Type,Allocated CA Nodes,Job ID
0.00085348,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job0
0.0015213,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job1
0.007233479999999999,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job0
0.00735206,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[1],job2
0.007901299999999998,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job1
0.01116915,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job3
0.01256995,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job4
0.013732059999999999,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job2
0.01754915,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[2],job3
0.01894995,0,0,0,InvocationType.INVOKE_JOB_COMPLETED,[],job4
0.02213818,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job5
0.02851818,0,0,0,InvocationType.INVOKE_JOB_COMPLETED,[],job5
0.03310479,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job6
0.03395522,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job7
0.03456123,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job8
0.03604485,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job9
0.03857353,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job10
0.03948479,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job6
0.04033522,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job7
0.040404,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job11
0.040941229999999995,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job8
0.04306777,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job12
0.04586479,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job9
0.04599486,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job13
0.04671522,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job10
0.04732123,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job11
0.04883257,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job14
0.04970004,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job15
0.04986332,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job16
0.05007533,3,6,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job17
0.05094758,4,7,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job18
0.05224479,4,6,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job12
0.05272868,4,7,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job19
0.05309522,4,6,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job13
0.05321158,4,7,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job20
0.054684,5,8,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job21
0.055212569999999996,5,7,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job14
0.05639112,5,8,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job22
0.05697545,6,9,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job23
0.05862479,5,7,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job15
0.05947522,4,6,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job16
0.06159257,3,5,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job17
0.06500479,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job18
0.06585522,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job19
0.06797257000000001,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job20
0.06973171000000002,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job24
0.07136842,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job25
0.07138479000000002,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job21
0.07223522000000002,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job22
0.07611171000000003,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job24
0.07775054000000002,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job26
0.07776479000000003,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job25
0.08413054000000002,0,0,0,InvocationType.INVOKE_JOB_COMPLETED,[],job26
0.08569681,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job27
0.08690118,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job28
0.08893414,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job29
0.09207681,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job27
0.09220117,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[1, 2]",job30
0.09328117999999999,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job28
0.09365156,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 2]",job31
0.09418789,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job32
0.09501867,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job33
0.09531413999999999,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job29
0.09564949,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job34
0.09619254,3,6,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job35
0.09858117,3,5,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job30
0.10003155999999999,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job31
0.10169413999999999,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job32
0.10496116999999999,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job33
0.10538832,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[1, 2]",job36
0.10641155999999999,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job34
0.10807413999999999,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job35
0.10810826999999999,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job37
0.11176831999999998,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job36
0.11297116,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[1],job38
0.11448826999999999,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job37
0.11466002,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job39
0.11495133,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job40
0.11878003,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job41
0.11935116,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job38
0.11946006,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job42
0.12102665,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job43
0.12104002,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job39
0.12113768,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job44
0.12133133,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job40
0.12134255,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job45
0.12541378,3,6,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job46
0.12573116,3,5,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job41
0.12742002000000002,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job42
0.12771133,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job43
0.13078592,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job47
0.13211116,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job44
0.1333245,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job48
0.13380002,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job45
0.13409132999999998,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job46
0.13731730999999997,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job49
0.13849115999999997,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job47
0.13921305,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[1, 2]",job50
0.14018001999999996,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job48
0.14034093,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 2]",job51
0.14369730999999997,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job49
0.14459898,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job52
0.14559305,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job50
0.14672093,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[2],job51
0.14682282,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[2],job53
0.15097897999999998,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job52
0.15320282,0,0,0,InvocationType.INVOKE_JOB_COMPLETED,[],job53
0.1639607,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job54
0.16547786,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job55
0.16596562,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job56
0.16998372,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job57
0.17034069999999998,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job54
0.17185786,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job55
0.17234562,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job56
0.17248726,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job58
0.17561328,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job59
0.17672069999999998,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job57
