Time,queue_length,load,Running Jobs,Invocation Type,Allocated CA Nodes,Job ID
0.00198515,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job0
0.00205264,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job1
0.00836515,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job0
0.00843264,0,0,0,InvocationType.INVOKE_JOB_COMPLETED,[],job1
0.009290710000000002,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job2
0.01138902,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job3
0.01528819,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job4
0.01567071,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job2
0.01776902,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[2],job3
0.01963001,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[2],job5
0.01976781,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 2]",job6
0.02166819,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job4
0.02191612,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job7
0.0221806,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job8
0.02601001,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job5
0.02614781,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job6
0.02689955,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 2]",job9
0.02829612,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job7
0.02842818,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job10
0.03239001,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job8
0.03250246,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[1, 2]",job11
0.03327955,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job9
0.03480818,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job10
0.03491758,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job12
0.03518874,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job13
0.03846142,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job14
0.038882459999999994,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job11
0.03924857,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job15
0.04034128,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job16
0.04129757999999999,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job12
0.04156874,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job13
0.04275853,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job17
0.04526246,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job14
0.04620709,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job18
0.04767758,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job15
0.047948740000000004,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job16
0.04806224,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job19
0.051642459999999994,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job17
0.054057579999999994,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[2],job18
0.05436476,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[2],job20
0.054442239999999996,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job19
0.05492336,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job21
0.05557176,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job22
0.05620866,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job23
0.05756889,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job24
0.05779076,3,6,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job25
0.05792982,4,7,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job26
0.060744759999999995,4,6,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job20
0.061303359999999994,3,5,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job21
0.061951759999999995,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job22
0.0635472,2,5,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job27
0.06712475999999999,2,4,2,InvocationType.INVOKE_JOB_COMPLETED,"[1, 2]",job23
0.06768336,1,3,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 2]",job24
0.06833176,0,2,2,InvocationType.INVOKE_JOB_COMPLETED,"[0, 1]",job25
0.07126697000000001,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job28
0.07198112,1,4,3,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1, 2]",job29
