ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.00306161,0.00306161,0.00944161,0,0.00638,0.00638,completed
1,malleable,0.00436003,0.00436003,0.01074,0,0.00638,0.00638,completed
2,malleable,0.00463897,0.00944161,0.0158216,0.00480264,0.00638,0.0111826,completed
3,malleable,0.00540578,0.01074,0.01712,0.00533425,0.00638,0.0117142,completed
4,malleable,0.00677218,0.0158216,0.0222016,0.00904943,0.00638,0.0154294,completed
5,malleable,0.00703072,0.01712,0.0235,0.0100893,0.00638,0.0164693,completed
6,malleable,0.00868139,0.0222016,0.0285816,0.0135202,0.00638,0.0199002,completed
7,malleable,0.0142561,0.0235,0.02988,0.00924394,0.00638,0.0156239,completed
8,malleable,0.0170088,0.0285816,0.0349616,0.0115728,0.00638,0.0179528,completed
9,malleable,0.0185512,0.02988,0.03626,0.0113288,0.00638,0.0177088,completed
10,malleable,0.0214026,0.0349616,0.0413416,0.013559,0.00638,0.019939,completed
11,malleable,0.0232378,0.03626,0.04264,0.0130222,0.00638,0.0194022,completed
12,malleable,0.0254696,0.0413416,0.0477216,0.015872,0.00638,0.022252,completed
13,malleable,0.0279882,-1,0.0279882,-1,1.02799,0,killed
14,malleable,0.0293712,0.04264,0.04902,0.0132688,0.00638,0.0196488,completed
15,malleable,0.0294665,-1,0.0294665,-1,1.02947,0,killed
16,malleable,0.0305404,0.0477216,0.0541016,0.0171812,0.00638,0.0235612,completed
17,malleable,0.0322937,-1,0.0322937,-1,1.03229,0,killed
18,malleable,0.0339346,-1,0.0339346,-1,1.03393,0,killed
19,malleable,0.0369727,0.04902,0.0554,0.0120473,0.00638,0.0184273,completed
20,malleable,0.0378614,0.0541016,0.0604816,0.0162402,0.00638,0.0226202,completed
21,malleable,0.0437419,0.0554,0.06178,0.0116582,0.00638,0.0180382,completed
22,malleable,0.0452775,0.0604816,0.0668616,0.0152041,0.00638,0.0215841,completed
23,malleable,0.0462543,-1,0.0462543,-1,1.04625,0,killed
24,malleable,0.049098,0.06178,0.06816,0.012682,0.00638,0.019062,completed
25,malleable,0.0494286,0.0668616,0.0732416,0.017433,0.00638,0.023813,completed
26,malleable,0.0501909,-1,0.0501909,-1,1.05019,0,killed
