Time,queue_length,load,Running Jobs,Invocation Type,Allocated CA Nodes,Job ID
0.00031097,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job0
0.00150174,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job1
0.00350413,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job2
0.006690969999999999,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job0
0.00788174,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job1
0.00833033,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job3
0.01230381,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job4
0.013070969999999998,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job2
0.01444833,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job5
0.014710329999999999,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job3
0.019450969999999998,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job4
0.02109033,0,0,0,InvocationType.INVOKE_JOB_COMPLETED,[],job5
0.024338630000000003,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job6
0.02466001,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job7
0.02657443,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job8
0.02777381,2,4,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job9
0.03004328,3,5,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job10
0.030718630000000004,3,4,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job6
0.03104001,2,3,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job7
0.03268048,2,4,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job11
0.03345145,3,5,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job12
0.03709863,3,4,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job8
