ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.00576802,0.00576802,0.012148,0,0.00638,0.00638,completed
1,malleable,0.00600265,0.00600265,0.0123826,0,0.00638,0.00638,completed
2,malleable,0.00718355,0.012148,0.018528,0.00496447,0.00638,0.0113445,completed
3,malleable,0.00758373,0.0123826,0.0187626,0.00479892,0.00638,0.0111789,completed
4,malleable,0.00981617,0.018528,0.024908,0.00871185,0.00638,0.0150918,completed
5,malleable,0.0113624,0.0187626,0.0251426,0.00740022,0.00638,0.0137802,completed
6,malleable,0.0130027,0.024908,0.031288,0.0119053,0.00638,0.0182853,completed
7,malleable,0.0133625,0.0251426,0.0315226,0.0117801,0.00638,0.0181601,completed
8,malleable,0.0179664,0.031288,0.037668,0.0133216,0.00638,0.0197016,completed
9,malleable,0.0204937,0.0315226,0.0379026,0.011029,0.00638,0.017409,completed
10,malleable,0.0236175,0.037668,0.044048,0.0140506,0.00638,0.0204306,completed
11,malleable,0.0258657,0.0379026,0.0442826,0.012037,0.00638,0.018417,completed
12,malleable,0.0292473,0.044048,0.050428,0.0148007,0.00638,0.0211807,completed
13,malleable,0.0303969,-1,0.0303969,-1,1.0304,0,killed
14,malleable,0.0369423,0.0442826,0.0506626,0.0073403,0.00638,0.0137203,completed
15,malleable,0.0403809,0.050428,0.056808,0.0100471,0.00638,0.0164271,completed
16,malleable,0.0410995,0.0506626,0.0570426,0.00956311,0.00638,0.0159431,completed
17,malleable,0.0420687,0.056808,0.063188,0.0147393,0.00638,0.0211193,completed
18,malleable,0.0436007,-1,0.0436007,-1,1.0436,0,killed
19,malleable,0.0455279,0.0570426,0.0634226,0.0115148,0.00638,0.0178948,completed
20,malleable,0.0503622,0.063188,0.069568,0.0128258,0.00638,0.0192058,completed
21,malleable,0.0514085,0.0634226,0.0698026,0.0120141,0.00638,0.0183941,completed
22,malleable,0.0605684,0.069568,0.075948,0.0089996,0.00638,0.0153796,completed
23,malleable,0.0606652,0.0698026,0.0761826,0.0091374,0.00638,0.0155174,completed
24,malleable,0.0628436,0.075948,0.082328,0.0131044,0.00638,0.0194844,completed
25,malleable,0.0660023,0.0761826,0.0825626,0.0101803,0.00638,0.0165603,completed
26,malleable,0.0679089,0.082328,0.088708,0.0144191,0.00638,0.0207991,completed
27,malleable,0.0695559,-1,0.0695559,-1,1.06956,0,killed
28,malleable,0.0697482,0.0825626,0.0889426,0.0128144,0.00638,0.0191944,completed
29,malleable,0.073858,0.088708,0.095088,0.01485,0.00638,0.02123,completed
30,malleable,0.0762274,0.0889426,0.0953226,0.0127152,0.00638,0.0190952,completed
31,malleable,0.0773278,0.095088,0.101468,0.0177602,0.00638,0.0241402,completed
32,malleable,0.0793881,-1,0.0793881,-1,1.07939,0,killed
33,malleable,0.0808057,-1,0.0808057,-1,1.08081,0,killed
34,malleable,0.082139,-1,0.082139,-1,1.08214,0,killed
35,malleable,0.0834887,0.0953226,0.101703,0.011834,0.00638,0.018214,completed
36,malleable,0.0841146,0.101468,0.107848,0.0173534,0.00638,0.0237334,completed
37,malleable,0.0845226,-1,0.0845226,-1,1.08452,0,killed
38,malleable,0.0847884,-1,0.0847884,-1,1.08479,0,killed
39,malleable,0.0852347,-1,0.0852347,-1,1.08523,0,killed
40,malleable,0.0869339,-1,0.0869339,-1,1.08693,0,killed
41,malleable,0.0919958,0.101703,0.108083,0.00970688,0.00638,0.0160869,completed
42,malleable,0.0935989,0.107848,0.114228,0.0142491,0.00638,0.0206291,completed
43,malleable,0.0962926,0.108083,0.114463,0.0117901,0.00638,0.0181701,completed
44,malleable,0.100587,0.114228,0.120608,0.0136408,0.00638,0.0200208,completed
45,malleable,0.101351,-1,0.101351,-1,1.10135,0,killed
46,malleable,0.101647,0.114463,0.120843,0.012816,0.00638,0.019196,completed
47,malleable,0.102581,0.120608,0.126988,0.0180266,0.00638,0.0244066,completed
48,malleable,0.112543,0.120843,0.127223,0.00829923,0.00638,0.0146792,completed
49,malleable,0.114321,0.126988,0.133368,0.0126672,0.00638,0.0190473,completed
50,malleable,0.116936,0.127223,0.133603,0.0102864,0.00638,0.0166664,completed
51,malleable,0.117836,0.133368,0.139748,0.0155322,0.00638,0.0219122,completed
52,malleable,0.126323,0.133603,0.139983,0.00727938,0.00638,0.0136594,completed
53,malleable,0.129255,0.139748,0.146128,0.0104935,0.00638,0.0168735,completed
54,malleable,0.129809,0.139983,0.146363,0.0101738,0.00638,0.0165538,completed
55,malleable,0.130119,0.146128,0.152508,0.0160095,0.00638,0.0223895,completed
56,malleable,0.130201,-1,0.130201,-1,1.1302,0,killed
57,malleable,0.133446,0.146363,0.152743,0.0129169,0.00638,0.0192969,completed
58,malleable,0.133898,0.152508,0.158888,0.0186103,0.00638,0.0249903,completed
59,malleable,0.134051,-1,0.134051,-1,1.13405,0,killed
60,malleable,0.137211,-1,0.137211,-1,1.13721,0,killed
61,malleable,0.137955,-1,0.137955,-1,1.13796,0,killed
62,malleable,0.138865,-1,0.138865,-1,1.13886,0,killed
63,malleable,0.139873,0.152743,0.159123,0.0128692,0.00638,0.0192492,completed
64,malleable,0.143614,0.158888,0.165268,0.0152745,0.00638,0.0216545,completed
65,malleable,0.150705,0.159123,0.165503,0.0084176,0.00638,0.0147976,completed
66,malleable,0.150986,0.165268,0.171648,0.0142824,0.00638,0.0206624,completed
67,malleable,0.151016,-1,0.151016,-1,1.15102,0,killed
68,malleable,0.154855,0.165503,0.171883,0.0106472,0.00638,0.0170272,completed
69,malleable,0.155244,0.171648,0.178028,0.016404,0.00638,0.022784,completed
70,malleable,0.155583,-1,0.155583,-1,1.15558,0,killed
71,malleable,0.157085,-1,0.157085,-1,1.15709,0,killed
72,malleable,0.158545,-1,0.158545,-1,1.15854,0,killed
73,malleable,0.158884,-1,0.158884,-1,1.15888,0,killed
74,malleable,0.159296,0.171883,0.178263,0.012587,0.00638,0.018967,completed
75,malleable,0.159526,0.178028,0.184408,0.0185021,0.00638,0.0248821,completed
76,malleable,0.160373,-1,0.160373,-1,1.16037,0,killed
77,malleable,0.162487,-1,0.162487,-1,1.16249,0,killed
78,malleable,0.164315,-1,0.164315,-1,1.16431,0,killed
79,malleable,0.165983,0.178263,0.184643,0.0122798,0.00638,0.0186598,completed
80,malleable,0.167551,0.184408,0.190788,0.0168572,0.00638,0.0232372,completed
81,malleable,0.17007,-1,0.17007,-1,1.17007,0,killed
82,malleable,0.170979,-1,0.170979,-1,1.17098,0,killed
83,malleable,0.171941,0.184643,0.191023,0.0127014,0.00638,0.0190814,completed
84,malleable,0.173959,0.190788,0.197168,0.0168292,0.00638,0.0232092,completed
85,malleable,0.174019,-1,0.174019,-1,1.17402,0,killed
86,malleable,0.175269,-1,0.175269,-1,1.17527,0,killed
87,malleable,0.175778,-1,0.175778,-1,1.17578,0,killed
88,malleable,0.177093,-1,0.177093,-1,1.17709,0,killed
89,malleable,0.177235,-1,0.177235,-1,1.17723,0,killed
90,malleable,0.17994,0.191023,0.197403,0.0110829,0.00638,0.0174629,completed
91,malleable,0.182776,0.197168,0.203548,0.0143925,0.00638,0.0207725,completed
92,malleable,0.191022,0.197403,0.203783,0.00638052,0.00638,0.0127605,completed
93,malleable,0.191446,0.203548,0.209928,0.0121024,0.00638,0.0184824,completed
94,malleable,0.195324,0.203783,0.210163,0.00845894,0.00638,0.0148389,completed
95,malleable,0.195878,0.209928,0.216308,0.0140504,0.00638,0.0204304,completed
96,malleable,0.201567,0.210163,0.216543,0.00859572,0.00638,0.0149757,completed
97,malleable,0.203833,0.216308,0.222688,0.0124753,0.00638,0.0188553,completed
98,malleable,0.205122,0.216543,0.222923,0.0114206,0.00638,0.0178006,completed
99,malleable,0.205759,0.222688,0.229068,0.0169289,0.00638,0.0233089,completed
