Time,queue_length,load,Running Jobs,Invocation Type,Allocated CA Nodes,Job ID
0.00549702,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job0
0.011877019999999999,0,0,0,InvocationType.INVOKE_JOB_COMPLETED,[],job0
0.01945951,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job1
0.01958311,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job2
0.02576287,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job3
0.02580072,2,4,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job4
0.02583951,2,3,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job1
0.02596311,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job2
0.02671943,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job5
0.02760523,2,4,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job6
0.03050066,3,5,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job7
0.03146159,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job8
0.0317041,5,7,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job9
0.03221951,5,6,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job3
0.03234311,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job4
0.03859951,3,4,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job5
0.03872311,2,3,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job6
0.03972349,2,4,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job10
0.04092351,3,5,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job11
0.04404348,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job12
0.04409379,5,7,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job13
0.04497950999999999,5,6,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job7
0.045103109999999995,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job8
0.05042075,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job14
0.05135951,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job9
0.05148311,3,4,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job10
0.05294034,3,5,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job15
0.05576844,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job16
0.057739509999999994,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job11
0.057863109999999995,3,4,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job12
0.05832581,3,5,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job17
0.06319364,4,6,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job18
0.06411950999999999,4,5,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job13
0.06424310999999999,3,4,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job14
0.07049950999999999,2,3,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job15
0.07062310999999999,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job16
0.07687950999999998,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job17
0.07700310999999999,0,0,0,InvocationType.INVOKE_JOB_COMPLETED,[],job18
0.07709896999999999,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job19
0.08002815,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job20
0.08347896999999999,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job19
0.08640815,0,0,0,InvocationType.INVOKE_JOB_COMPLETED,[],job20
0.09213268,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job21
0.09327128,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job22
0.09361271,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job23
0.09516742,2,4,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job24
0.09851267999999999,2,3,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job21
0.09965128,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job22
0.10117629,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job25
0.10489267999999999,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job23
0.10531957,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job26
0.10603127999999999,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job24
0.10797415,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job27
0.11127268,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job25
0.11241128,0,1,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job26
0.11419424,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job28
0.11622896,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job29
0.11765268,1,2,1,InvocationType.INVOKE_JOB_COMPLETED,[1],job27
0.11995862,1,3,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job30
0.12037271,2,4,2,InvocationType.INVOKE_JOB_SUBMIT,"[0, 1]",job31
0.12057424,2,3,1,InvocationType.INVOKE_JOB_COMPLETED,[0],job28
