ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.00236217,0.00236217,0.00874217,0,0.00638,0.00638,completed
1,malleable,0.00574562,0.00874217,0.0151222,0.00299655,0.00638,0.00937655,completed
2,malleable,0.00742371,0.0151222,0.0215022,0.00769846,0.00638,0.0140785,completed
3,malleable,0.00786522,0.0215022,0.0278822,0.0136369,0.00638,0.0200169,completed
4,malleable,0.00841849,0.0278822,0.0342622,0.0194637,0.00638,0.0258437,completed
5,malleable,0.0105835,0.0342622,0.0406422,0.0236787,0.00638,0.0300587,completed
6,malleable,0.0105974,0.0406422,0.0470222,0.0300448,0.00638,0.0364248,completed
7,malleable,0.0127564,-1,0.0127564,-1,1.01276,0,killed
8,malleable,0.0160464,0.0470222,0.0534022,0.0309758,0.00638,0.0373558,completed
9,malleable,0.0176314,-1,0.0176314,-1,1.01763,0,killed
10,malleable,0.0236882,0.0534022,0.0597822,0.029714,0.00638,0.036094,completed
11,malleable,0.0258689,-1,0.0258689,-1,1.02587,0,killed
12,malleable,0.0275309,-1,0.0275309,-1,1.02753,0,killed
13,malleable,0.0304183,0.0597822,0.0661622,0.0293639,0.00638,0.0357439,completed
14,malleable,0.0336367,-1,0.0336367,-1,1.03364,0,killed
15,malleable,0.0341385,-1,0.0341385,-1,1.03414,0,killed
16,malleable,0.0347866,0.0661622,0.0725422,0.0313756,0.00638,0.0377556,completed
17,malleable,0.0406149,-1,0.0406149,-1,1.04061,0,killed
18,malleable,0.0410189,0.0725422,0.0789222,0.0315232,0.00638,0.0379032,completed
19,malleable,0.0462236,-1,0.0462236,-1,1.04622,0,killed
20,malleable,0.0462891,-1,0.0462891,-1,1.04629,0,killed
21,malleable,0.0482811,0.0789222,0.0853022,0.0306411,0.00638,0.0370211,completed
22,malleable,0.0492946,-1,0.0492946,-1,1.04929,0,killed
23,malleable,0.0522359,-1,0.0522359,-1,1.05224,0,killed
24,malleable,0.0615213,0.0853022,0.0916822,0.0237809,0.00638,0.0301609,completed
25,malleable,0.0667723,0.0916822,0.0980622,0.0249098,0.00638,0.0312898,completed
26,malleable,0.0674918,0.0980622,0.104442,0.0305704,0.00638,0.0369504,completed
27,malleable,0.0705259,-1,0.0705259,-1,1.07053,0,killed
28,malleable,0.0801897,0.104442,0.110822,0.0242524,0.00638,0.0306324,completed
29,malleable,0.0849437,0.110822,0.117202,0.0258785,0.00638,0.0322585,completed
30,malleable,0.0867088,0.117202,0.123582,0.0304933,0.00638,0.0368733,completed
31,malleable,0.0894704,-1,0.0894704,-1,1.08947,0,killed
32,malleable,0.0970575,0.123582,0.129962,0.0265247,0.00638,0.0329047,completed
33,malleable,0.102249,0.129962,0.136342,0.0277134,0.00638,0.0340934,completed
34,malleable,0.104263,-1,0.104263,-1,1.10426,0,killed
35,malleable,0.105814,0.136342,0.142722,0.0305285,0.00638,0.0369085,completed
36,malleable,0.106067,-1,0.106067,-1,1.10607,0,killed
37,malleable,0.111657,0.142722,0.149102,0.0310649,0.00638,0.0374449,completed
38,malleable,0.111708,-1,0.111708,-1,1.11171,0,killed
39,malleable,0.11198,-1,0.11198,-1,1.11198,0,killed
40,malleable,0.118357,0.149102,0.155482,0.0307453,0.00638,0.0371253,completed
41,malleable,0.119318,-1,0.119318,-1,1.11932,0,killed
42,malleable,0.12031,-1,0.12031,-1,1.12031,0,killed
43,malleable,0.121446,-1,0.121446,-1,1.12145,0,killed
44,malleable,0.124918,0.155482,0.161862,0.0305638,0.00638,0.0369438,completed
45,malleable,0.129909,-1,0.129909,-1,1.12991,0,killed
46,malleable,0.136277,0.161862,0.168242,0.0255852,0.00638,0.0319652,completed
47,malleable,0.137025,0.168242,0.174622,0.0312173,0.00638,0.0375973,completed
48,malleable,0.141316,-1,0.141316,-1,1.14132,0,killed
49,malleable,0.141475,-1,0.141475,-1,1.14148,0,killed
50,malleable,0.149265,0.174622,0.181002,0.0253575,0.00638,0.0317375,completed
51,malleable,0.15001,0.181002,0.187382,0.0309924,0.00638,0.0373724,completed
52,malleable,0.152585,-1,0.152585,-1,1.15259,0,killed
53,malleable,0.153316,-1,0.153316,-1,1.15332,0,killed
54,malleable,0.154347,-1,0.154347,-1,1.15435,0,killed
55,malleable,0.156242,0.187382,0.193762,0.0311398,0.00638,0.0375198,completed
56,malleable,0.156369,-1,0.156369,-1,1.15637,0,killed
57,malleable,0.15821,-1,0.15821,-1,1.15821,0,killed
58,malleable,0.158473,-1,0.158473,-1,1.15847,0,killed
59,malleable,0.165802,0.193762,0.200142,0.0279606,0.00638,0.0343406,completed
60,malleable,0.167877,-1,0.167877,-1,1.16788,0,killed
61,malleable,0.170885,0.200142,0.206522,0.0292569,0.00638,0.0356369,completed
62,malleable,0.17089,-1,0.17089,-1,1.17089,0,killed
63,malleable,0.170971,-1,0.170971,-1,1.17097,0,killed
64,malleable,0.177487,0.206522,0.212902,0.0290352,0.00638,0.0354152,completed
65,malleable,0.180782,-1,0.180782,-1,1.18078,0,killed
66,malleable,0.18128,0.212902,0.219282,0.0316223,0.00638,0.0380023,completed
67,malleable,0.182515,-1,0.182515,-1,1.18252,0,killed
68,malleable,0.18334,-1,0.18334,-1,1.18334,0,killed
69,malleable,0.192919,0.219282,0.225662,0.0263633,0.00638,0.0327433,completed
70,malleable,0.199002,0.225662,0.232042,0.0266599,0.00638,0.0330399,completed
71,malleable,0.199728,-1,0.199728,-1,1.19973,0,killed
72,malleable,0.209506,0.232042,0.238422,0.0225367,0.00638,0.0289167,completed
73,malleable,0.209534,0.238422,0.244802,0.028888,0.00638,0.035268,completed
74,malleable,0.211918,-1,0.211918,-1,1.21192,0,killed
75,malleable,0.212265,-1,0.212265,-1,1.21227,0,killed
76,malleable,0.214865,0.244802,0.251182,0.0299375,0.00638,0.0363175,completed
77,malleable,0.214973,-1,0.214973,-1,1.21497,0,killed
78,malleable,0.215122,-1,0.215122,-1,1.21512,0,killed
79,malleable,0.217901,-1,0.217901,-1,1.2179,0,killed
80,malleable,0.221174,0.251182,0.257562,0.0300086,0.00638,0.0363886,completed
81,malleable,0.224323,-1,0.224323,-1,1.22432,0,killed
82,malleable,0.225415,-1,0.225415,-1,1.22542,0,killed
83,malleable,0.231873,0.257562,0.263942,0.0256887,0.00638,0.0320687,completed
84,malleable,0.232491,0.263942,0.270322,0.0314508,0.00638,0.0378308,completed
85,malleable,0.239895,0.270322,0.276702,0.0304273,0.00638,0.0368073,completed
86,malleable,0.243849,-1,0.243849,-1,1.24385,0,killed
87,malleable,0.245963,0.276702,0.283082,0.0307397,0.00638,0.0371197,completed
88,malleable,0.24603,-1,0.24603,-1,1.24603,0,killed
89,malleable,0.246658,-1,0.246658,-1,1.24666,0,killed
90,malleable,0.247695,-1,0.247695,-1,1.24769,0,killed
91,malleable,0.261938,0.283082,0.289462,0.0211445,0.00638,0.0275245,completed
92,malleable,0.263036,0.289462,0.295842,0.0264265,0.00638,0.0328065,completed
93,malleable,0.267087,0.295842,0.302222,0.0287551,0.00638,0.0351351,completed
94,malleable,0.26918,-1,0.26918,-1,1.26918,0,killed
95,malleable,0.272247,0.302222,0.308602,0.0299753,0.00638,0.0363553,completed
96,malleable,0.283846,0.308602,0.314982,0.024756,0.00638,0.031136,completed
97,malleable,0.292781,0.314982,0.321362,0.0222016,0.00638,0.0285816,completed
98,malleable,0.292927,0.321362,0.327742,0.0284355,0.00638,0.0348155,completed
99,malleable,0.293277,-1,0.293277,-1,1.29328,0,killed
