Time,queue_length,load,Running Jobs,Invocation Type,Allocated CA Nodes,Job ID
0.00341264,1,1,0,InvocationType.INVOKE_JOB_SUBMIT,[],job0
0.00389096,1,2,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job1
0.00581199,2,3,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job2
0.00610858,3,4,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job3
0.00735093,4,5,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job4
0.00858298,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job5
0.00979264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job0
0.01163186,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job6
0.01375,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job7
0.01403425,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job8
0.01617264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job1
0.01618587,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job9
0.01929532,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job10
0.02027074,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job11
0.02082053,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job12
0.02255264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job2
0.02374921,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job13
0.02755946,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job14
0.02893264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job3
0.03201604,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job15
0.03361568,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job16
0.03408684,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job17
0.03531264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job4
0.0391375,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job18
0.04075122,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job19
0.041692639999999996,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job5
0.04387032,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job20
0.04662404,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job21
0.04807264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job6
0.04932353,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job22
0.0517572,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job23
0.05445264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job9
0.05848148,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job24
0.05973687,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job25
0.06072255,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job26
0.06083263999999999,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job13
0.06153606,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job27
0.06503186,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job28
0.06525975,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job29
0.06721263999999999,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job15
0.06916104,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job30
0.06959288,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job31
0.07041072,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job32
0.07359264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job18
0.07369391,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job33
0.07387927,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job34
0.07416016,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job35
0.07451495,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job36
0.07552144,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job37
0.07584834,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job38
0.07673685,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job39
0.0771,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job40
0.07724676,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job41
0.07925688,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job42
0.07997264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job20
0.08366512,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job43
0.08385638,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job44
0.08490646,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job45
0.08498892,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job46
0.08613576,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job47
0.08613951,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job48
0.08632198,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job49
0.08635264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job22
0.0876447,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job50
0.0909805,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job51
0.09273263999999999,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job24
0.09483486,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job52
0.09867855,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job53
0.09911263999999999,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job27
0.09965537,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job54
0.10129462,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job55
0.10204142,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job56
0.10549264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job30
0.11111334,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job57
0.11111577,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job58
0.11187264,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job33
0.11313339,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job59
0.11525302,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job60
0.11545852,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job61
0.11674724,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job62
0.11825263999999999,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job43
0.12001563,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job63
0.12152262,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job64
0.12463263999999999,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job50
0.12982679,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job65
0.1301799,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job66
0.13101263999999999,5,5,0,InvocationType.INVOKE_JOB_COMPLETED,[],job52
0.13104404,5,6,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job67
0.13113647,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job68
0.13386501,6,7,1,InvocationType.INVOKE_JOB_SUBMIT,[0],job69
