ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.00119093,0.00119093,0.00757093,0,0.00638,0.00638,completed
1,malleable,0.00453735,0.00757093,0.0139509,0.00303358,0.00638,0.00941358,completed
2,malleable,0.00742944,0.0139509,0.0203309,0.00652149,0.00638,0.0129015,completed
3,malleable,0.00765823,0.0203309,0.0267109,0.0126727,0.00638,0.0190527,completed
4,malleable,0.00976316,0.0267109,0.0330909,0.0169478,0.00638,0.0233278,completed
5,malleable,0.01703,0.0330909,0.0394709,0.016061,0.00638,0.022441,completed
6,malleable,0.022912,0.0394709,0.0458509,0.0165589,0.00638,0.0229389,completed
7,malleable,0.0257729,0.0458509,0.0522309,0.0200781,0.00638,0.0264581,completed
8,malleable,0.0287354,0.0522309,0.0586109,0.0234955,0.00638,0.0298755,completed
9,malleable,0.0297517,0.0586109,0.0649909,0.0288592,0.00638,0.0352392,completed
10,malleable,0.0324547,-1,0.0324547,-1,1.03245,0,killed
11,malleable,0.0389194,0.0649909,0.0713709,0.0260715,0.00638,0.0324515,completed
12,malleable,0.0399417,0.0713709,0.0777509,0.0314293,0.00638,0.0378093,completed
13,malleable,0.0407059,-1,0.0407059,-1,1.04071,0,killed
14,malleable,0.0413654,-1,0.0413654,-1,1.04137,0,killed
15,malleable,0.0433475,-1,0.0433475,-1,1.04335,0,killed
16,malleable,0.0440878,-1,0.0440878,-1,1.04409,0,killed
17,malleable,0.0464767,0.0777509,0.0841309,0.0312742,0.00638,0.0376542,completed
18,malleable,0.0488285,-1,0.0488285,-1,1.04883,0,killed
19,malleable,0.0490165,-1,0.0490165,-1,1.04902,0,killed
20,malleable,0.0492677,-1,0.0492677,-1,1.04927,0,killed
21,malleable,0.050015,-1,0.050015,-1,1.05002,0,killed
22,malleable,0.0510875,-1,0.0510875,-1,1.05109,0,killed
23,malleable,0.0560989,0.0841309,0.0905109,0.028032,0.00638,0.034412,completed
24,malleable,0.05687,-1,0.05687,-1,1.05687,0,killed
25,malleable,0.058885,0.0905109,0.0968909,0.0316259,0.00638,0.0380059,completed
26,malleable,0.0593849,-1,0.0593849,-1,1.05938,0,killed
27,malleable,0.0603086,-1,0.0603086,-1,1.06031,0,killed
28,malleable,0.0622136,-1,0.0622136,-1,1.06221,0,killed
29,malleable,0.0646713,-1,0.0646713,-1,1.06467,0,killed
30,malleable,0.0698335,0.0968909,0.103271,0.0270574,0.00638,0.0334374,completed
31,malleable,0.0707297,-1,0.0707297,-1,1.07073,0,killed
32,malleable,0.0804266,0.103271,0.109651,0.0228444,0.00638,0.0292244,completed
33,malleable,0.0821543,0.109651,0.116031,0.0274966,0.00638,0.0338766,completed
34,malleable,0.0822264,-1,0.0822264,-1,1.08223,0,killed
35,malleable,0.0830011,-1,0.0830011,-1,1.083,0,killed
36,malleable,0.0838454,-1,0.0838454,-1,1.08385,0,killed
37,malleable,0.0849389,0.116031,0.122411,0.031092,0.00638,0.037472,completed
38,malleable,0.0864364,-1,0.0864364,-1,1.08644,0,killed
39,malleable,0.0867393,-1,0.0867393,-1,1.08674,0,killed
40,malleable,0.0881543,-1,0.0881543,-1,1.08815,0,killed
41,malleable,0.091236,0.122411,0.128791,0.0311749,0.00638,0.0375549,completed
42,malleable,0.0923312,-1,0.0923312,-1,1.09233,0,killed
43,malleable,0.098465,0.128791,0.135171,0.0303259,0.00638,0.0367059,completed
44,malleable,0.100081,-1,0.100081,-1,1.10008,0,killed
45,malleable,0.101635,-1,0.101635,-1,1.10164,0,killed
46,malleable,0.102281,-1,0.102281,-1,1.10228,0,killed
47,malleable,0.106161,0.135171,0.141551,0.0290098,0.00638,0.0353898,completed
48,malleable,0.106379,-1,0.106379,-1,1.10638,0,killed
49,malleable,0.10664,-1,0.10664,-1,1.10664,0,killed
50,malleable,0.106825,-1,0.106825,-1,1.10682,0,killed
51,malleable,0.109121,-1,0.109121,-1,1.10912,0,killed
52,malleable,0.11473,0.141551,0.147931,0.0268213,0.00638,0.0332013,completed
53,malleable,0.11587,-1,0.11587,-1,1.11587,0,killed
54,malleable,0.117054,0.147931,0.154311,0.030877,0.00638,0.037257,completed
55,malleable,0.122505,0.154311,0.160691,0.031806,0.00638,0.038186,completed
56,malleable,0.122603,-1,0.122603,-1,1.1226,0,killed
57,malleable,0.124603,-1,0.124603,-1,1.1246,0,killed
58,malleable,0.127956,-1,0.127956,-1,1.12796,0,killed
59,malleable,0.133233,0.160691,0.167071,0.0274583,0.00638,0.0338383,completed
60,malleable,0.137448,0.167071,0.173451,0.0296233,0.00638,0.0360033,completed
61,malleable,0.139315,-1,0.139315,-1,1.13931,0,killed
62,malleable,0.144101,0.173451,0.179831,0.02935,0.00638,0.03573,completed
63,malleable,0.149841,0.179831,0.186211,0.0299895,0.00638,0.0363695,completed
64,malleable,0.150234,-1,0.150234,-1,1.15023,0,killed
65,malleable,0.151988,-1,0.151988,-1,1.15199,0,killed
66,malleable,0.152873,-1,0.152873,-1,1.15287,0,killed
67,malleable,0.163734,0.186211,0.192591,0.0224767,0.00638,0.0288567,completed
68,malleable,0.163862,0.192591,0.198971,0.0287289,0.00638,0.0351089,completed
69,malleable,0.171687,0.198971,0.205351,0.0272841,0.00638,0.0336641,completed
70,malleable,0.177208,0.205351,0.211731,0.028143,0.00638,0.034523,completed
71,malleable,0.17791,-1,0.17791,-1,1.17791,0,killed
