ID,Type,Submit Time,Start Time,End Time,Wait Time,Makespan,Turnaround Time,Status
0,malleable,0.003948,0.003948,0.010328,0,0.00638,0.00638,completed
1,malleable,0.00739745,0.010328,0.016708,0.00293055,0.00638,0.00931055,completed
2,malleable,0.00762954,0.016708,0.023088,0.00907846,0.00638,0.0154585,completed
3,malleable,0.00797719,0.023088,0.029468,0.0151108,0.00638,0.0214908,completed
4,malleable,0.0124964,0.029468,0.035848,0.0169716,0.00638,0.0233516,completed
5,malleable,0.0145647,0.035848,0.042228,0.0212833,0.00638,0.0276633,completed
6,malleable,0.014728,0.042228,0.048608,0.0275,0.00638,0.03388,completed
7,malleable,0.0207341,0.048608,0.054988,0.0278738,0.00638,0.0342539,completed
8,malleable,0.0216954,-1,0.0216954,-1,1.0217,0,killed
9,malleable,0.0224574,-1,0.0224574,-1,1.02246,0,killed
10,malleable,0.0241812,0.054988,0.061368,0.0308068,0.00638,0.0371868,completed
11,malleable,0.0297954,0.061368,0.067748,0.0315726,0.00638,0.0379526,completed
12,malleable,0.031949,-1,0.031949,-1,1.03195,0,killed
13,malleable,0.033724,-1,0.033724,-1,1.03372,0,killed
14,malleable,0.0352839,-1,0.0352839,-1,1.03528,0,killed
15,malleable,0.0361491,0.067748,0.074128,0.0315989,0.00638,0.0379789,completed
16,malleable,0.0382845,-1,0.0382845,-1,1.03828,0,killed
17,malleable,0.0408149,-1,0.0408149,-1,1.04081,0,killed
18,malleable,0.0420958,-1,0.0420958,-1,1.0421,0,killed
19,malleable,0.0449613,0.074128,0.080508,0.0291667,0.00638,0.0355467,completed
20,malleable,0.0471082,-1,0.0471082,-1,1.04711,0,killed
21,malleable,0.0471422,-1,0.0471422,-1,1.04714,0,killed
22,malleable,0.0502659,0.080508,0.086888,0.0302421,0.00638,0.0366221,completed
23,malleable,0.0539078,-1,0.0539078,-1,1.05391,0,killed
24,malleable,0.056071,0.086888,0.093268,0.030817,0.00638,0.037197,completed
25,malleable,0.0565433,-1,0.0565433,-1,1.05654,0,killed
26,malleable,0.0654769,0.093268,0.099648,0.0277911,0.00638,0.0341711,completed
27,malleable,0.0710365,0.099648,0.106028,0.0286115,0.00638,0.0349915,completed
28,malleable,0.0739987,-1,0.0739987,-1,1.074,0,killed
29,malleable,0.0745473,0.106028,0.112408,0.0314806,0.00638,0.0378606,completed
30,malleable,0.074573,-1,0.074573,-1,1.07457,0,killed
31,malleable,0.0749686,-1,0.0749686,-1,1.07497,0,killed
32,malleable,0.0769615,-1,0.0769615,-1,1.07696,0,killed
33,malleable,0.0790561,-1,0.0790561,-1,1.07906,0,killed
34,malleable,0.0814837,0.112408,0.118788,0.0309243,0.00638,0.0373043,completed
35,malleable,0.0854002,-1,0.0854002,-1,1.0854,0,killed
36,malleable,0.086368,-1,0.086368,-1,1.08637,0,killed
37,malleable,0.0936211,0.118788,0.125168,0.0251669,0.00638,0.0315469,completed
38,malleable,0.0950966,0.125168,0.131548,0.0300714,0.00638,0.0364514,completed
39,malleable,0.0999423,0.131548,0.137928,0.0316057,0.00638,0.0379857,completed
40,malleable,0.102729,-1,0.102729,-1,1.10273,0,killed
41,malleable,0.103677,-1,0.103677,-1,1.10368,0,killed
42,malleable,0.10542,-1,0.10542,-1,1.10542,0,killed
43,malleable,0.112808,0.137928,0.144308,0.02512,0.00638,0.0315,completed
44,malleable,0.116837,0.144308,0.150688,0.0274708,0.00638,0.0338508,completed
45,malleable,0.118682,-1,0.118682,-1,1.11868,0,killed
46,malleable,0.120413,0.150688,0.157068,0.030275,0.00638,0.036655,completed
47,malleable,0.121653,-1,0.121653,-1,1.12165,0,killed
48,malleable,0.121778,-1,0.121778,-1,1.12178,0,killed
49,malleable,0.12795,0.157068,0.163448,0.0291181,0.00638,0.0354981,completed
50,malleable,0.128224,-1,0.128224,-1,1.12822,0,killed
51,malleable,0.128994,-1,0.128994,-1,1.12899,0,killed
52,malleable,0.130173,-1,0.130173,-1,1.13017,0,killed
53,malleable,0.135338,0.163448,0.169828,0.02811,0.00638,0.03449,completed
